delay,count
-2756,3
-1616,4
-1468,1
-1464,3
-1463,9
-1461,3
-1459,3
-1458,1
-1457,2
-1456,2
-1455,8
-1454,20
-1453,17
-1452,12
-1451,29
-1450,51
-1449,32
-1448,38
-1447,44
-1446,44
-1445,55
-1444,62
-1443,65
-1442,70
-1441,62
-1440,50
-1439,63
-1438,76
-1437,41
-1436,36
-1435,48
-1434,44
-1433,42
-1432,31
-1431,44
-1430,36
-1429,26
-1428,30
-1427,39
-1426,26
-1425,47
-1424,63
-1423,49
-1422,32
-1421,17
-1420,88
-1419,18
-1418,49
-1417,31
-1416,36
-1415,34
-1414,31
-1413,19
-1412,42
-1411,57
-1410,50
-1409,39
-1408,26
-1407,34
-1406,23
-1405,40
-1404,23
-1403,30
-1402,22
-1401,30
-1400,28
-1399,38
-1398,12
-1397,10
-1396,20
-1395,19
-1394,43
-1393,8
-1392,43
-1391,6
-1390,46
-1389,6
-1388,9
-1387,5
-1386,6
-1385,31
-1384,23
-1383,20
-1382,4
-1381,5
-1380,15
-1379,1
-1378,11
-1377,3
-1376,3
-1375,14
-1374,2
-1373,2
-1372,1
-1371,8
-1370,16
-1369,28
-1368,6
-1367,2
-1366,16
-1365,3
-1364,2
-1363,2
-1362,4
-1361,3
-1360,8
-1359,5
-1358,5
-1357,3
-1356,1
-1355,20
-1354,5
-1353,2
-1352,5
-1351,3
-1350,12
-1349,6
-1348,12
-1347,16
-1346,8
-1345,8
-1344,8
-1343,11
-1342,12
-1341,5
-1340,19
-1339,15
-1338,16
-1337,9
-1336,12
-1335,13
-1334,10
-1333,19
-1332,22
-1331,18
-1330,20
-1329,45
-1328,27
-1327,46
-1326,33
-1325,64
-1324,62
-1323,57
-1322,81
-1321,73
-1320,89
-1319,60
-1318,53
-1317,72
-1316,72
-1315,82
-1314,69
-1313,103
-1312,110
-1311,101
-1310,106
-1309,125
-1308,105
-1307,142
-1306,119
-1305,152
-1304,171
-1303,114
-1302,143
-1301,141
-1300,173
-1299,167
-1298,178
-1297,268
-1296,217
-1295,295
-1294,255
-1293,269
-1292,301
-1291,223
-1290,235
-1289,186
-1288,145
-1287,178
-1286,139
-1285,177
-1284,171
-1283,160
-1282,94
-1281,110
-1280,131
-1279,151
-1278,144
-1277,91
-1276,132
-1275,123
-1274,107
-1273,104
-1272,98
-1271,117
-1270,104
-1269,120
-1268,116
-1267,104
-1266,88
-1265,130
-1264,136
-1263,164
-1262,125
-1261,142
-1260,195
-1259,156
-1258,192
-1257,170
-1256,137
-1255,148
-1254,165
-1253,113
-1252,100
-1251,149
-1250,151
-1249,140
-1248,114
-1247,154
-1246,126
-1245,138
-1244,102
-1243,163
-1242,129
-1241,181
-1240,130
-1239,157
-1238,120
-1237,143
-1236,131
-1235,90
-1234,100
-1233,109
-1232,86
-1231,104
-1230,104
-1229,96
-1228,112
-1227,85
-1226,63
-1225,69
-1224,62
-1223,76
-1222,84
-1221,98
-1220,82
-1219,87
-1218,52
-1217,64
-1216,65
-1215,69
-1214,60
-1213,71
-1212,31
-1211,43
-1210,58
-1209,54
-1208,45
-1207,42
-1206,47
-1205,46
-1204,31
-1203,45
-1202,50
-1201,41
-1200,37
-1199,34
-1198,51
-1197,40
-1196,39
-1195,42
-1194,49
-1193,53
-1192,36
-1191,30
-1190,52
-1189,39
-1188,26
-1187,28
-1186,40
-1185,34
-1184,29
-1183,24
-1182,15
-1181,29
-1180,26
-1179,26
-1178,30
-1177,16
-1176,20
-1175,13
-1174,21
-1173,27
-1172,15
-1171,7
-1170,19
-1169,18
-1168,23
-1167,21
-1166,28
-1165,27
-1164,39
-1163,9
-1162,21
-1161,32
-1160,49
-1159,16
-1158,51
-1157,25
-1156,42
-1155,47
-1154,53
-1153,41
-1152,28
-1151,32
-1150,53
-1149,23
-1148,42
-1147,42
-1146,40
-1145,38
-1144,54
-1143,30
-1142,22
-1141,7
-1140,32
-1139,22
-1138,21
-1137,35
-1136,24
-1135,34
-1134,21
-1133,9
-1132,14
-1131,30
-1130,18
-1129,27
-1128,10
-1127,8
-1126,4
-1125,19
-1124,23
-1123,13
-1122,9
-1121,6
-1120,15
-1119,11
-1118,13
-1117,6
-1116,10
-1115,7
